id,EdadNÚMEROCONCRETO,Género,Niveldeestudios,Creenciasreligiosas,Quéedadconsideraslamejorpa,Cuántoshijostegustaríatener,Aborto,fecundacioninvitro,adopcion,gestacionsubrogada,notendriahijos,FamiliaMONOparental,FamiliaHOMOsexual,Divorciados,Recurriraldivorcio,Matrimonio_hijos,Hijodetupareja,SituviesesunhijoQuétipode,GENERO2,NIVEL_ESTUDIOS2,CREENCIAS_RELIGIOSAS2,INVITRO2,ADOPCION2,GESTACION_SUBROGADA2,NO_TENDRÍA_HIJOS2,SI_TUVIESES_UN_HIJO_QUÉ_TIPO_DE,Edadclases,EDADV2
1,19,Mujer,Estudios Universitarios,Creyente,31,3,si,Segunda opción,Primera opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,5,Compartida,16-20,15-25
2,19,Mujer,Estudios secundarios,Creyente,29,3,no,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
3,18,Mujer,Estudios Universitarios,Creyente,28,6,no, ,Primera opción, , ,si,si,si,si,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,5,Primera opción,5,5,Compartida,16-20,15-25
4,18,Mujer,Estudios Universitarios,Creyente,28,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,no,si,no,si,no,si,Única,,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Única,16-20,15-25
5,18,Mujer,Estudios Universitarios,Creyente,27,4,no, ,Primera opción, , ,si,,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,5,Primera opción,5,5,Compartida,16-20,15-25
6,18,Mujer,Estudios Universitarios,Agnóstico,29,2,si,Primera opción,Cuarta opción,Segunda opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Cuarta opción,Segunda opción,Tercera opción,Compartida,16-20,15-25
7,53,Mujer,Estudios Universitarios,Creyente,30,3,no,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,50-65,45-55
8,18,Mujer,Estudios Universitarios,Agnóstico,28,3,si,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Agnóstico,Segunda opción,Primera opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
9,19,Mujer,Estudios Universitarios,Creyente,28,3,no,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
10,19,Mujer,Estudios Universitarios,Creyente,30,3,si,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Cuarta opción,Tercera opción,Única,16-20,15-25
11,18,Mujer,Estudios Universitarios,Ateo,30,0,si,Tercera opción,Segunda opción, ,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Tercera opción,Segunda opción,5,Primera opción,Compartida,16-20,15-25
12,18,Hombre,Estudios Universitarios,Creyente,30,3,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,Tercera opción,Compartida,16-20,15-25
13,24,Mujer,Estudios Universitarios,Ateo,26,3,si,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,"Compartida, Única",Mujer,Estudios Universitarios,Ateo,Segunda opción,Primera opción,Cuarta opción,Tercera opción,"Compartida, Única",20-25,15-25
14,20,Mujer,Estudios Universitarios,Ateo,32,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,5,Tercera opción,Compartida,20-25,15-25
15,18,Mujer,Estudios Universitarios,Agnóstico,31,3,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
16,18,Mujer,Estudios Universitarios,Creyente,28,,no,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
